[ Info: Oceananigans will use 64 threads
number of threads is 64
mainnm = 3, runnm = 4, lat = 2.5
running AMZexpt03.04
stop_time: 1.728e6; lat: 2.5; select mode: [1]
["N2w", "zfw", "lonsel", "latsel"]
Δx = 4.0 km
Δz = 37.38317757009346 m on average
EIG_AMZexpt03.04_LAT_02.5.jld2 Ueig data saved ........ 
Mode 1 wavelength is 106.3 km
fraction gauss_width/L1 is 0.151
┌ Warning: Overwriting existing /home/mbui/ModelOutput/IW/AMZexpt03.04.nc.
└ @ OceananigansNCDatasetsExt ~/.julia/packages/Oceananigans/br1rI/ext/OceananigansNCDatasetsExt/netcdf_writer.jl:191
[ Info: Initializing simulation...
Iter:      0, sim time: 0 seconds , wall time:  0 seconds, Δt:  60.0000, advective CFL: 0.00e+00, diffusive CFL: 6.00e-01
[ Info:     ... simulation initialization complete (13.982 seconds)
[ Info: Executing initial time step...
[ Info:     ... initial time step complete (9.603 seconds).
Iter:    100, sim time: 2.750 hours , wall time: 24.912 seconds, Δt:  155.6245, advective CFL: 1.02e-02, diffusive CFL: 1.56e+00
Iter:    200, sim time: 9.362 hours , wall time: 26.149 seconds, Δt:  403.6500, advective CFL: 1.02e-01, diffusive CFL: 4.04e+00
Iter:    300, sim time: 21.417 hours , wall time: 27.681 seconds, Δt:  600.0000, advective CFL: 4.25e-01, diffusive CFL: 6.00e+00
Iter:    400, sim time: 1.413 days , wall time: 29.230 seconds, Δt:  553.6300, advective CFL: 7.80e-01, diffusive CFL: 5.54e+00
Iter:    500, sim time: 1.832 days , wall time: 30.538 seconds, Δt:  396.7900, advective CFL: 8.53e-01, diffusive CFL: 3.97e+00
Iter:    600, sim time: 2.141 days , wall time: 31.673 seconds, Δt:  251.7057, advective CFL: 7.65e-01, diffusive CFL: 2.52e+00
Iter:    700, sim time: 2.385 days , wall time: 32.660 seconds, Δt:  209.5016, advective CFL: 8.08e-01, diffusive CFL: 2.10e+00
Iter:    800, sim time: 2.598 days , wall time: 33.632 seconds, Δt:  203.3562, advective CFL: 7.49e-01, diffusive CFL: 2.03e+00
Iter:    900, sim time: 2.812 days , wall time: 34.629 seconds, Δt:  210.5643, advective CFL: 8.02e-01, diffusive CFL: 2.11e+00
Iter:   1000, sim time: 3.021 days , wall time: 35.608 seconds, Δt:  191.8776, advective CFL: 7.96e-01, diffusive CFL: 1.92e+00
Iter:   1100, sim time: 3.234 days , wall time: 36.596 seconds, Δt:  197.6587, advective CFL: 7.55e-01, diffusive CFL: 1.98e+00
Iter:   1200, sim time: 3.446 days , wall time: 37.533 seconds, Δt:  191.5332, advective CFL: 7.73e-01, diffusive CFL: 1.92e+00
Iter:   1300, sim time: 3.655 days , wall time: 38.511 seconds, Δt:  192.2176, advective CFL: 7.90e-01, diffusive CFL: 1.92e+00
Iter:   1400, sim time: 3.863 days , wall time: 39.644 seconds, Δt:  195.7405, advective CFL: 8.18e-01, diffusive CFL: 1.96e+00
Iter:   1500, sim time: 4.072 days , wall time: 40.525 seconds, Δt:  205.2629, advective CFL: 8.20e-01, diffusive CFL: 2.05e+00
Iter:   1600, sim time: 4.280 days , wall time: 41.414 seconds, Δt:  207.9672, advective CFL: 8.31e-01, diffusive CFL: 2.08e+00
Iter:   1700, sim time: 4.489 days , wall time: 42.320 seconds, Δt:  210.1302, advective CFL: 7.99e-01, diffusive CFL: 2.10e+00
Iter:   1800, sim time: 4.698 days , wall time: 43.252 seconds, Δt:  222.6136, advective CFL: 8.20e-01, diffusive CFL: 2.23e+00
Iter:   1900, sim time: 4.906 days , wall time: 44.189 seconds, Δt:  211.2149, advective CFL: 7.63e-01, diffusive CFL: 2.11e+00
Iter:   2000, sim time: 5.113 days , wall time: 45.093 seconds, Δt:  196.4088, advective CFL: 7.77e-01, diffusive CFL: 1.96e+00
Iter:   2100, sim time: 5.325 days , wall time: 46.027 seconds, Δt:  194.1113, advective CFL: 7.59e-01, diffusive CFL: 1.94e+00
Iter:   2200, sim time: 5.538 days , wall time: 46.956 seconds, Δt:  200.3142, advective CFL: 7.47e-01, diffusive CFL: 2.00e+00
Iter:   2300, sim time: 5.746 days , wall time: 47.856 seconds, Δt:  196.1300, advective CFL: 7.72e-01, diffusive CFL: 1.96e+00
Iter:   2400, sim time: 5.958 days , wall time: 48.764 seconds, Δt:  199.1514, advective CFL: 7.77e-01, diffusive CFL: 1.99e+00
Iter:   2500, sim time: 6.167 days , wall time: 49.703 seconds, Δt:  196.1703, advective CFL: 7.84e-01, diffusive CFL: 1.96e+00
Iter:   2600, sim time: 6.380 days , wall time: 50.640 seconds, Δt:  197.1165, advective CFL: 7.49e-01, diffusive CFL: 1.97e+00
Iter:   2700, sim time: 6.588 days , wall time: 51.567 seconds, Δt:  191.5553, advective CFL: 7.91e-01, diffusive CFL: 1.92e+00
Iter:   2800, sim time: 6.796 days , wall time: 52.493 seconds, Δt:  189.8343, advective CFL: 8.07e-01, diffusive CFL: 1.90e+00
Iter:   2900, sim time: 7.007 days , wall time: 53.394 seconds, Δt:  191.9810, advective CFL: 8.11e-01, diffusive CFL: 1.92e+00
Iter:   3000, sim time: 7.215 days , wall time: 54.319 seconds, Δt:  202.2946, advective CFL: 8.22e-01, diffusive CFL: 2.02e+00
Iter:   3100, sim time: 7.424 days , wall time: 55.218 seconds, Δt:  204.2731, advective CFL: 8.22e-01, diffusive CFL: 2.04e+00
Iter:   3200, sim time: 7.632 days , wall time: 56.144 seconds, Δt:  205.4157, advective CFL: 8.16e-01, diffusive CFL: 2.05e+00
Iter:   3300, sim time: 7.840 days , wall time: 57.073 seconds, Δt:  197.7320, advective CFL: 8.16e-01, diffusive CFL: 1.98e+00
Iter:   3400, sim time: 8.049 days , wall time: 57.973 seconds, Δt:  199.6146, advective CFL: 8.18e-01, diffusive CFL: 2.00e+00
Iter:   3500, sim time: 8.257 days , wall time: 58.901 seconds, Δt:  199.7276, advective CFL: 8.15e-01, diffusive CFL: 2.00e+00
Iter:   3600, sim time: 8.465 days , wall time: 59.801 seconds, Δt:  193.0909, advective CFL: 7.99e-01, diffusive CFL: 1.93e+00
Iter:   3700, sim time: 8.673 days , wall time: 1.012 minutes, Δt:  196.2879, advective CFL: 8.10e-01, diffusive CFL: 1.96e+00
Iter:   3800, sim time: 8.882 days , wall time: 1.028 minutes, Δt:  193.7929, advective CFL: 8.23e-01, diffusive CFL: 1.94e+00
Iter:   3900, sim time: 9.090 days , wall time: 1.043 minutes, Δt:  184.4298, advective CFL: 7.90e-01, diffusive CFL: 1.84e+00
Iter:   4000, sim time: 9.298 days , wall time: 1.058 minutes, Δt:  192.3407, advective CFL: 7.76e-01, diffusive CFL: 1.92e+00
Iter:   4100, sim time: 9.504 days , wall time: 1.073 minutes, Δt:  179.6856, advective CFL: 7.91e-01, diffusive CFL: 1.80e+00
Iter:   4200, sim time: 9.713 days , wall time: 1.089 minutes, Δt:  193.6803, advective CFL: 7.85e-01, diffusive CFL: 1.94e+00
Iter:   4300, sim time: 9.919 days , wall time: 1.104 minutes, Δt:  180.4087, advective CFL: 8.21e-01, diffusive CFL: 1.80e+00
Iter:   4400, sim time: 10.117 days , wall time: 1.119 minutes, Δt:  184.5282, advective CFL: 7.76e-01, diffusive CFL: 1.85e+00
Iter:   4500, sim time: 10.325 days , wall time: 1.134 minutes, Δt:  197.6274, advective CFL: 7.72e-01, diffusive CFL: 1.98e+00
Iter:   4600, sim time: 10.525 days , wall time: 1.149 minutes, Δt:  181.3158, advective CFL: 8.11e-01, diffusive CFL: 1.81e+00
Iter:   4700, sim time: 10.729 days , wall time: 1.165 minutes, Δt:  194.9839, advective CFL: 8.13e-01, diffusive CFL: 1.95e+00
Iter:   4800, sim time: 10.938 days , wall time: 1.180 minutes, Δt:  190.6780, advective CFL: 8.27e-01, diffusive CFL: 1.91e+00
Iter:   4900, sim time: 11.133 days , wall time: 1.195 minutes, Δt:  181.7602, advective CFL: 7.98e-01, diffusive CFL: 1.82e+00
Iter:   5000, sim time: 11.335 days , wall time: 1.210 minutes, Δt:  178.0524, advective CFL: 7.76e-01, diffusive CFL: 1.78e+00
Iter:   5100, sim time: 11.525 days , wall time: 1.225 minutes, Δt:  177.1725, advective CFL: 7.56e-01, diffusive CFL: 1.77e+00
Iter:   5200, sim time: 11.728 days , wall time: 1.244 minutes, Δt:  194.5063, advective CFL: 7.49e-01, diffusive CFL: 1.95e+00
Iter:   5300, sim time: 11.923 days , wall time: 1.258 minutes, Δt:  178.2503, advective CFL: 7.52e-01, diffusive CFL: 1.78e+00
Iter:   5400, sim time: 12.115 days , wall time: 1.271 minutes, Δt:  177.9505, advective CFL: 7.59e-01, diffusive CFL: 1.78e+00
Iter:   5500, sim time: 12.323 days , wall time: 1.286 minutes, Δt:  207.5303, advective CFL: 8.46e-01, diffusive CFL: 2.08e+00
Iter:   5600, sim time: 12.515 days , wall time: 1.302 minutes, Δt:  190.7867, advective CFL: 8.46e-01, diffusive CFL: 1.91e+00
Iter:   5700, sim time: 12.713 days , wall time: 1.317 minutes, Δt:  185.7044, advective CFL: 7.72e-01, diffusive CFL: 1.86e+00
Iter:   5800, sim time: 12.917 days , wall time: 1.332 minutes, Δt:  178.2309, advective CFL: 8.01e-01, diffusive CFL: 1.78e+00
Iter:   5900, sim time: 13.104 days , wall time: 1.347 minutes, Δt:  177.5101, advective CFL: 7.65e-01, diffusive CFL: 1.78e+00
Iter:   6000, sim time: 13.309 days , wall time: 1.362 minutes, Δt:  196.3900, advective CFL: 8.05e-01, diffusive CFL: 1.96e+00
Iter:   6100, sim time: 13.506 days , wall time: 1.378 minutes, Δt:  174.4932, advective CFL: 7.68e-01, diffusive CFL: 1.74e+00
Iter:   6200, sim time: 13.700 days , wall time: 1.392 minutes, Δt:  181.1143, advective CFL: 7.99e-01, diffusive CFL: 1.81e+00
Iter:   6300, sim time: 13.909 days , wall time: 1.407 minutes, Δt:  194.6030, advective CFL: 8.15e-01, diffusive CFL: 1.95e+00
Iter:   6400, sim time: 14.098 days , wall time: 1.423 minutes, Δt:  176.7952, advective CFL: 7.66e-01, diffusive CFL: 1.77e+00
Iter:   6500, sim time: 14.298 days , wall time: 1.438 minutes, Δt:  196.4323, advective CFL: 8.19e-01, diffusive CFL: 1.96e+00
Iter:   6600, sim time: 14.504 days , wall time: 1.453 minutes, Δt:  177.7543, advective CFL: 8.05e-01, diffusive CFL: 1.78e+00
Iter:   6700, sim time: 14.694 days , wall time: 1.468 minutes, Δt:  178.8069, advective CFL: 7.94e-01, diffusive CFL: 1.79e+00
Iter:   6800, sim time: 14.900 days , wall time: 1.483 minutes, Δt:  200.3477, advective CFL: 8.18e-01, diffusive CFL: 2.00e+00
Iter:   6900, sim time: 15.094 days , wall time: 1.498 minutes, Δt:  179.6115, advective CFL: 7.65e-01, diffusive CFL: 1.80e+00
Iter:   7000, sim time: 15.294 days , wall time: 1.513 minutes, Δt:  187.5053, advective CFL: 7.68e-01, diffusive CFL: 1.88e+00
Iter:   7100, sim time: 15.502 days , wall time: 1.529 minutes, Δt:  188.2280, advective CFL: 8.28e-01, diffusive CFL: 1.88e+00
Iter:   7200, sim time: 15.692 days , wall time: 1.544 minutes, Δt:  178.3114, advective CFL: 7.93e-01, diffusive CFL: 1.78e+00
Iter:   7300, sim time: 15.896 days , wall time: 1.559 minutes, Δt:  199.7826, advective CFL: 8.01e-01, diffusive CFL: 2.00e+00
Iter:   7400, sim time: 16.098 days , wall time: 1.574 minutes, Δt:  181.9282, advective CFL: 8.27e-01, diffusive CFL: 1.82e+00
Iter:   7500, sim time: 16.290 days , wall time: 1.589 minutes, Δt:  182.3256, advective CFL: 7.94e-01, diffusive CFL: 1.82e+00
Iter:   7600, sim time: 16.499 days , wall time: 1.605 minutes, Δt:  198.2318, advective CFL: 8.01e-01, diffusive CFL: 1.98e+00
Iter:   7700, sim time: 16.692 days , wall time: 1.619 minutes, Δt:  184.5861, advective CFL: 8.27e-01, diffusive CFL: 1.85e+00
Iter:   7800, sim time: 16.894 days , wall time: 1.635 minutes, Δt:  195.4278, advective CFL: 8.13e-01, diffusive CFL: 1.95e+00
Iter:   7900, sim time: 17.102 days , wall time: 1.650 minutes, Δt:  180.1962, advective CFL: 7.91e-01, diffusive CFL: 1.80e+00
Iter:   8000, sim time: 17.310 days , wall time: 1.665 minutes, Δt:  180.5065, advective CFL: 7.92e-01, diffusive CFL: 1.81e+00
Iter:   8100, sim time: 17.519 days , wall time: 1.681 minutes, Δt:  194.9737, advective CFL: 8.11e-01, diffusive CFL: 1.95e+00
Iter:   8200, sim time: 17.711 days , wall time: 1.696 minutes, Δt:  188.3888, advective CFL: 8.38e-01, diffusive CFL: 1.88e+00
Iter:   8300, sim time: 17.913 days , wall time: 1.711 minutes, Δt:  188.5596, advective CFL: 8.01e-01, diffusive CFL: 1.89e+00
Iter:   8400, sim time: 18.119 days , wall time: 1.726 minutes, Δt:  179.7327, advective CFL: 7.99e-01, diffusive CFL: 1.80e+00
Iter:   8500, sim time: 18.308 days , wall time: 1.741 minutes, Δt:  180.6887, advective CFL: 8.05e-01, diffusive CFL: 1.81e+00
Iter:   8600, sim time: 18.515 days , wall time: 1.756 minutes, Δt:  209.3494, advective CFL: 8.35e-01, diffusive CFL: 2.09e+00
Iter:   8700, sim time: 18.723 days , wall time: 1.772 minutes, Δt:  202.5261, advective CFL: 7.88e-01, diffusive CFL: 2.03e+00
Iter:   8800, sim time: 18.929 days , wall time: 1.787 minutes, Δt:  188.4788, advective CFL: 7.99e-01, diffusive CFL: 1.88e+00
Iter:   8900, sim time: 19.138 days , wall time: 1.804 minutes, Δt:  182.1967, advective CFL: 8.10e-01, diffusive CFL: 1.82e+00
Iter:   9000, sim time: 19.327 days , wall time: 1.817 minutes, Δt:  180.1191, advective CFL: 8.10e-01, diffusive CFL: 1.80e+00
Iter:   9100, sim time: 19.531 days , wall time: 1.831 minutes, Δt:  211.2600, advective CFL: 8.07e-01, diffusive CFL: 2.11e+00
Iter:   9200, sim time: 19.729 days , wall time: 1.846 minutes, Δt:  177.2648, advective CFL: 7.89e-01, diffusive CFL: 1.77e+00
Iter:   9300, sim time: 19.923 days , wall time: 1.862 minutes, Δt:  182.0401, advective CFL: 7.95e-01, diffusive CFL: 1.82e+00
[ Info: Simulation is stopping after running for 1.867 minutes.
[ Info: Simulation time 20 days equals or exceeds stop time 20 days.
