[ Info: Oceananigans will use 64 threads
number of threads is 64
mainnm = 3, runnm = 6, lat = 10.0
running AMZexpt03.06
stop_time: 1.728e6; lat: 10.0; select mode: [1]
["N2w", "zfw", "lonsel", "latsel"]
Δx = 4.0 km
Δz = 37.38317757009346 m on average
EIG_AMZexpt03.06_LAT_10.0.jld2 Ueig data saved ........ 
Mode 1 wavelength is 108.0 km
fraction gauss_width/L1 is 0.148
┌ Warning: Overwriting existing /home/mbui/ModelOutput/IW/AMZexpt03.06.nc.
└ @ OceananigansNCDatasetsExt ~/.julia/packages/Oceananigans/br1rI/ext/OceananigansNCDatasetsExt/netcdf_writer.jl:191
[ Info: Initializing simulation...
Iter:      0, sim time: 0 seconds , wall time:  0 seconds, Δt:  60.0000, advective CFL: 0.00e+00, diffusive CFL: 6.00e-01
[ Info:     ... simulation initialization complete (14.062 seconds)
[ Info: Executing initial time step...
[ Info:     ... initial time step complete (9.551 seconds).
Iter:    100, sim time: 2.750 hours , wall time: 24.955 seconds, Δt:  155.6245, advective CFL: 1.01e-02, diffusive CFL: 1.56e+00
Iter:    200, sim time: 9.362 hours , wall time: 26.126 seconds, Δt:  403.6500, advective CFL: 1.01e-01, diffusive CFL: 4.04e+00
Iter:    300, sim time: 21.417 hours , wall time: 27.624 seconds, Δt:  600.0000, advective CFL: 4.19e-01, diffusive CFL: 6.00e+00
Iter:    400, sim time: 1.413 days , wall time: 29.131 seconds, Δt:  600.0000, advective CFL: 8.62e-01, diffusive CFL: 6.00e+00
Iter:    500, sim time: 1.880 days , wall time: 30.487 seconds, Δt:  405.6723, advective CFL: 9.21e-01, diffusive CFL: 4.06e+00
Iter:    600, sim time: 2.190 days , wall time: 31.574 seconds, Δt:  257.5590, advective CFL: 7.30e-01, diffusive CFL: 2.58e+00
Iter:    700, sim time: 2.451 days , wall time: 32.566 seconds, Δt:  239.8298, advective CFL: 8.78e-01, diffusive CFL: 2.40e+00
Iter:    800, sim time: 2.680 days , wall time: 33.551 seconds, Δt:  210.9688, advective CFL: 7.79e-01, diffusive CFL: 2.11e+00
Iter:    900, sim time: 2.896 days , wall time: 34.463 seconds, Δt:  201.9024, advective CFL: 7.79e-01, diffusive CFL: 2.02e+00
Iter:   1000, sim time: 3.104 days , wall time: 35.457 seconds, Δt:  198.5075, advective CFL: 7.73e-01, diffusive CFL: 1.99e+00
Iter:   1100, sim time: 3.312 days , wall time: 36.414 seconds, Δt:  196.1775, advective CFL: 8.02e-01, diffusive CFL: 1.96e+00
Iter:   1200, sim time: 3.526 days , wall time: 37.352 seconds, Δt:  215.4983, advective CFL: 7.53e-01, diffusive CFL: 2.15e+00
Iter:   1300, sim time: 3.740 days , wall time: 38.295 seconds, Δt:  195.4607, advective CFL: 8.22e-01, diffusive CFL: 1.95e+00
Iter:   1400, sim time: 3.948 days , wall time: 39.248 seconds, Δt:  184.4443, advective CFL: 7.84e-01, diffusive CFL: 1.84e+00
Iter:   1500, sim time: 4.156 days , wall time: 40.164 seconds, Δt:  191.4427, advective CFL: 7.73e-01, diffusive CFL: 1.91e+00
Iter:   1600, sim time: 4.365 days , wall time: 41.102 seconds, Δt:  193.2264, advective CFL: 8.12e-01, diffusive CFL: 1.93e+00
Iter:   1700, sim time: 4.573 days , wall time: 42.300 seconds, Δt:  182.6469, advective CFL: 7.67e-01, diffusive CFL: 1.83e+00
Iter:   1800, sim time: 4.781 days , wall time: 43.175 seconds, Δt:  199.6280, advective CFL: 7.18e-01, diffusive CFL: 2.00e+00
Iter:   1900, sim time: 4.994 days , wall time: 44.076 seconds, Δt:  193.3650, advective CFL: 8.03e-01, diffusive CFL: 1.93e+00
Iter:   2000, sim time: 5.202 days , wall time: 44.965 seconds, Δt:  185.2305, advective CFL: 7.94e-01, diffusive CFL: 1.85e+00
Iter:   2100, sim time: 5.414 days , wall time: 45.879 seconds, Δt:  210.9127, advective CFL: 8.44e-01, diffusive CFL: 2.11e+00
Iter:   2200, sim time: 5.622 days , wall time: 46.788 seconds, Δt:  204.0996, advective CFL: 8.30e-01, diffusive CFL: 2.04e+00
Iter:   2300, sim time: 5.830 days , wall time: 47.723 seconds, Δt:  191.9141, advective CFL: 8.04e-01, diffusive CFL: 1.92e+00
Iter:   2400, sim time: 6.038 days , wall time: 48.635 seconds, Δt:  189.8538, advective CFL: 7.82e-01, diffusive CFL: 1.90e+00
Iter:   2500, sim time: 6.246 days , wall time: 49.519 seconds, Δt:  193.2303, advective CFL: 7.57e-01, diffusive CFL: 1.93e+00
Iter:   2600, sim time: 6.455 days , wall time: 50.430 seconds, Δt:  190.4366, advective CFL: 7.96e-01, diffusive CFL: 1.90e+00
Iter:   2700, sim time: 6.663 days , wall time: 51.343 seconds, Δt:  185.2722, advective CFL: 8.12e-01, diffusive CFL: 1.85e+00
Iter:   2800, sim time: 6.871 days , wall time: 52.286 seconds, Δt:  188.4169, advective CFL: 7.98e-01, diffusive CFL: 1.88e+00
Iter:   2900, sim time: 7.080 days , wall time: 53.173 seconds, Δt:  195.1968, advective CFL: 8.11e-01, diffusive CFL: 1.95e+00
Iter:   3000, sim time: 7.288 days , wall time: 54.087 seconds, Δt:  186.5860, advective CFL: 8.14e-01, diffusive CFL: 1.87e+00
Iter:   3100, sim time: 7.496 days , wall time: 55.000 seconds, Δt:  194.6617, advective CFL: 7.84e-01, diffusive CFL: 1.95e+00
Iter:   3200, sim time: 7.705 days , wall time: 55.931 seconds, Δt:  201.8875, advective CFL: 7.36e-01, diffusive CFL: 2.02e+00
Iter:   3300, sim time: 7.914 days , wall time: 56.850 seconds, Δt:  219.9623, advective CFL: 8.56e-01, diffusive CFL: 2.20e+00
Iter:   3400, sim time: 8.121 days , wall time: 57.737 seconds, Δt:  193.1066, advective CFL: 8.19e-01, diffusive CFL: 1.93e+00
Iter:   3500, sim time: 8.329 days , wall time: 58.660 seconds, Δt:  186.3490, advective CFL: 7.88e-01, diffusive CFL: 1.86e+00
Iter:   3600, sim time: 8.538 days , wall time: 59.569 seconds, Δt:  207.5729, advective CFL: 8.41e-01, diffusive CFL: 2.08e+00
Iter:   3700, sim time: 8.746 days , wall time: 1.008 minutes, Δt:  198.2968, advective CFL: 8.26e-01, diffusive CFL: 1.98e+00
Iter:   3800, sim time: 8.955 days , wall time: 1.023 minutes, Δt:  190.8404, advective CFL: 8.02e-01, diffusive CFL: 1.91e+00
Iter:   3900, sim time: 9.163 days , wall time: 1.038 minutes, Δt:  192.1110, advective CFL: 7.60e-01, diffusive CFL: 1.92e+00
Iter:   4000, sim time: 9.372 days , wall time: 1.053 minutes, Δt:  202.0697, advective CFL: 7.92e-01, diffusive CFL: 2.02e+00
Iter:   4100, sim time: 9.567 days , wall time: 1.068 minutes, Δt:  172.9616, advective CFL: 7.80e-01, diffusive CFL: 1.73e+00
Iter:   4200, sim time: 9.750 days , wall time: 1.082 minutes, Δt:  173.8985, advective CFL: 7.62e-01, diffusive CFL: 1.74e+00
Iter:   4300, sim time: 9.938 days , wall time: 1.097 minutes, Δt:  181.7795, advective CFL: 8.49e-01, diffusive CFL: 1.82e+00
Iter:   4400, sim time: 10.123 days , wall time: 1.112 minutes, Δt:  174.7193, advective CFL: 7.97e-01, diffusive CFL: 1.75e+00
Iter:   4500, sim time: 10.310 days , wall time: 1.127 minutes, Δt:  178.7157, advective CFL: 7.95e-01, diffusive CFL: 1.79e+00
Iter:   4600, sim time: 10.515 days , wall time: 1.142 minutes, Δt:  197.4125, advective CFL: 8.04e-01, diffusive CFL: 1.97e+00
Iter:   4700, sim time: 10.723 days , wall time: 1.157 minutes, Δt:  202.1220, advective CFL: 8.21e-01, diffusive CFL: 2.02e+00
Iter:   4800, sim time: 10.931 days , wall time: 1.172 minutes, Δt:  184.1886, advective CFL: 8.04e-01, diffusive CFL: 1.84e+00
Iter:   4900, sim time: 11.140 days , wall time: 1.187 minutes, Δt:  196.7978, advective CFL: 7.79e-01, diffusive CFL: 1.97e+00
Iter:   5000, sim time: 11.348 days , wall time: 1.202 minutes, Δt:  196.7528, advective CFL: 7.99e-01, diffusive CFL: 1.97e+00
Iter:   5100, sim time: 11.557 days , wall time: 1.217 minutes, Δt:  210.7689, advective CFL: 8.28e-01, diffusive CFL: 2.11e+00
Iter:   5200, sim time: 11.765 days , wall time: 1.232 minutes, Δt:  186.9414, advective CFL: 8.07e-01, diffusive CFL: 1.87e+00
Iter:   5300, sim time: 11.973 days , wall time: 1.247 minutes, Δt:  187.0238, advective CFL: 7.63e-01, diffusive CFL: 1.87e+00
Iter:   5400, sim time: 12.167 days , wall time: 1.264 minutes, Δt:  185.3511, advective CFL: 8.26e-01, diffusive CFL: 1.85e+00
Iter:   5500, sim time: 12.371 days , wall time: 1.277 minutes, Δt:  190.4667, advective CFL: 8.16e-01, diffusive CFL: 1.90e+00
Iter:   5600, sim time: 12.573 days , wall time: 1.292 minutes, Δt:  203.0535, advective CFL: 8.47e-01, diffusive CFL: 2.03e+00
Iter:   5700, sim time: 12.781 days , wall time: 1.307 minutes, Δt:  188.3144, advective CFL: 8.20e-01, diffusive CFL: 1.88e+00
Iter:   5800, sim time: 12.990 days , wall time: 1.321 minutes, Δt:  187.4561, advective CFL: 7.62e-01, diffusive CFL: 1.87e+00
Iter:   5900, sim time: 13.198 days , wall time: 1.337 minutes, Δt:  200.3469, advective CFL: 8.25e-01, diffusive CFL: 2.00e+00
Iter:   6000, sim time: 13.406 days , wall time: 1.352 minutes, Δt:  196.1720, advective CFL: 8.19e-01, diffusive CFL: 1.96e+00
Iter:   6100, sim time: 13.615 days , wall time: 1.367 minutes, Δt:  191.9265, advective CFL: 8.04e-01, diffusive CFL: 1.92e+00
Iter:   6200, sim time: 13.823 days , wall time: 1.383 minutes, Δt:  203.4378, advective CFL: 8.01e-01, diffusive CFL: 2.03e+00
Iter:   6300, sim time: 14.031 days , wall time: 1.398 minutes, Δt:  205.9172, advective CFL: 8.35e-01, diffusive CFL: 2.06e+00
Iter:   6400, sim time: 14.240 days , wall time: 1.413 minutes, Δt:  193.5836, advective CFL: 8.04e-01, diffusive CFL: 1.94e+00
Iter:   6500, sim time: 14.448 days , wall time: 1.429 minutes, Δt:  183.5534, advective CFL: 7.86e-01, diffusive CFL: 1.84e+00
Iter:   6600, sim time: 14.656 days , wall time: 1.444 minutes, Δt:  183.8891, advective CFL: 7.80e-01, diffusive CFL: 1.84e+00
Iter:   6700, sim time: 14.854 days , wall time: 1.459 minutes, Δt:  177.7445, advective CFL: 7.83e-01, diffusive CFL: 1.78e+00
Iter:   6800, sim time: 15.052 days , wall time: 1.474 minutes, Δt:  188.5121, advective CFL: 8.18e-01, diffusive CFL: 1.89e+00
Iter:   6900, sim time: 15.260 days , wall time: 1.489 minutes, Δt:  185.8307, advective CFL: 7.81e-01, diffusive CFL: 1.86e+00
Iter:   7000, sim time: 15.469 days , wall time: 1.504 minutes, Δt:  192.0667, advective CFL: 7.67e-01, diffusive CFL: 1.92e+00
