[ Info: Oceananigans will use 64 threads
number of threads is 64
mainnm = 3, runnm = 5, lat = 5.0
running AMZexpt03.05
stop_time: 1.728e6; lat: 5.0; select mode: [1]
["N2w", "zfw", "lonsel", "latsel"]
Δx = 4.0 km
Δz = 37.38317757009346 m on average
EIG_AMZexpt03.05_LAT_05.0.jld2 Ueig data saved ........ 
Mode 1 wavelength is 106.6 km
fraction gauss_width/L1 is 0.150
┌ Warning: Overwriting existing /home/mbui/ModelOutput/IW/AMZexpt03.05.nc.
└ @ OceananigansNCDatasetsExt ~/.julia/packages/Oceananigans/br1rI/ext/OceananigansNCDatasetsExt/netcdf_writer.jl:191
[ Info: Initializing simulation...
Iter:      0, sim time: 0 seconds , wall time:  0 seconds, Δt:  60.0000, advective CFL: 0.00e+00, diffusive CFL: 6.00e-01
[ Info:     ... simulation initialization complete (14.238 seconds)
[ Info: Executing initial time step...
[ Info:     ... initial time step complete (9.582 seconds).
Iter:   3800, sim time: 8.926 days , wall time: 1.034 minutes, Δt:  203.8055, advective CFL: 7.98e-01, diffusive CFL: 2.04e+00
Iter:   3900, sim time: 9.121 days , wall time: 1.049 minutes, Δt:  176.8379, advective CFL: 7.67e-01, diffusive CFL: 1.77e+00
Iter:   4000, sim time: 9.315 days , wall time: 1.064 minutes, Δt:  180.8629, advective CFL: 8.03e-01, diffusive CFL: 1.81e+00
Iter:   4100, sim time: 9.523 days , wall time: 1.079 minutes, Δt:  198.8905, advective CFL: 8.23e-01, diffusive CFL: 1.99e+00
Iter:   4200, sim time: 9.729 days , wall time: 1.094 minutes, Δt:  179.3464, advective CFL: 7.97e-01, diffusive CFL: 1.79e+00
Iter:   4300, sim time: 9.929 days , wall time: 1.110 minutes, Δt:  202.4208, advective CFL: 8.27e-01, diffusive CFL: 2.02e+00
Iter:   4400, sim time: 10.138 days , wall time: 1.125 minutes, Δt:  204.7517, advective CFL: 8.28e-01, diffusive CFL: 2.05e+00
Iter:   4500, sim time: 10.346 days , wall time: 1.140 minutes, Δt:  189.6107, advective CFL: 8.18e-01, diffusive CFL: 1.90e+00
Iter:   4600, sim time: 10.554 days , wall time: 1.156 minutes, Δt:  203.8648, advective CFL: 8.11e-01, diffusive CFL: 2.04e+00
Iter:   4700, sim time: 10.763 days , wall time: 1.172 minutes, Δt:  196.9109, advective CFL: 7.72e-01, diffusive CFL: 1.97e+00
Iter:   4800, sim time: 10.971 days , wall time: 1.187 minutes, Δt:  190.4986, advective CFL: 7.82e-01, diffusive CFL: 1.90e+00
Iter:   4900, sim time: 11.179 days , wall time: 1.203 minutes, Δt:  196.6942, advective CFL: 8.15e-01, diffusive CFL: 1.97e+00
Iter:   5000, sim time: 11.388 days , wall time: 1.218 minutes, Δt:  199.4749, advective CFL: 8.25e-01, diffusive CFL: 1.99e+00
Iter:   5100, sim time: 11.596 days , wall time: 1.233 minutes, Δt:  210.4715, advective CFL: 8.09e-01, diffusive CFL: 2.10e+00
Iter:   5200, sim time: 11.805 days , wall time: 1.249 minutes, Δt:  209.0920, advective CFL: 8.31e-01, diffusive CFL: 2.09e+00
Iter:   5300, sim time: 12.013 days , wall time: 1.264 minutes, Δt:  201.7101, advective CFL: 8.02e-01, diffusive CFL: 2.02e+00
Iter:   5400, sim time: 12.221 days , wall time: 1.279 minutes, Δt:  198.6280, advective CFL: 7.59e-01, diffusive CFL: 1.99e+00
Iter:   5500, sim time: 12.429 days , wall time: 1.296 minutes, Δt:  200.6994, advective CFL: 7.61e-01, diffusive CFL: 2.01e+00
Iter:   5600, sim time: 12.638 days , wall time: 1.310 minutes, Δt:  200.7327, advective CFL: 8.16e-01, diffusive CFL: 2.01e+00
Iter:   5700, sim time: 12.846 days , wall time: 1.325 minutes, Δt:  196.6477, advective CFL: 8.03e-01, diffusive CFL: 1.97e+00
Iter:   5800, sim time: 13.054 days , wall time: 1.340 minutes, Δt:  183.2118, advective CFL: 7.82e-01, diffusive CFL: 1.83e+00
Iter:   5900, sim time: 13.263 days , wall time: 1.356 minutes, Δt:  199.3714, advective CFL: 7.98e-01, diffusive CFL: 1.99e+00
Iter:   6000, sim time: 13.471 days , wall time: 1.371 minutes, Δt:  180.2775, advective CFL: 8.02e-01, diffusive CFL: 1.80e+00
Iter:   6100, sim time: 13.674 days , wall time: 1.386 minutes, Δt:  200.6913, advective CFL: 8.10e-01, diffusive CFL: 2.01e+00
Iter:   6200, sim time: 13.882 days , wall time: 1.401 minutes, Δt:  197.0619, advective CFL: 8.06e-01, diffusive CFL: 1.97e+00
Iter:   6300, sim time: 14.083 days , wall time: 1.417 minutes, Δt:  184.8152, advective CFL: 7.65e-01, diffusive CFL: 1.85e+00
Iter:   6400, sim time: 14.292 days , wall time: 1.432 minutes, Δt:  199.0889, advective CFL: 7.97e-01, diffusive CFL: 1.99e+00
Iter:   6500, sim time: 14.500 days , wall time: 1.448 minutes, Δt:  180.2947, advective CFL: 7.97e-01, diffusive CFL: 1.80e+00
Iter:   6600, sim time: 14.708 days , wall time: 1.463 minutes, Δt:  198.5293, advective CFL: 8.05e-01, diffusive CFL: 1.99e+00
Iter:   6700, sim time: 14.917 days , wall time: 1.479 minutes, Δt:  198.2651, advective CFL: 8.37e-01, diffusive CFL: 1.98e+00
Iter:   6800, sim time: 15.125 days , wall time: 1.494 minutes, Δt:  196.6618, advective CFL: 8.13e-01, diffusive CFL: 1.97e+00
Iter:   6900, sim time: 15.333 days , wall time: 1.510 minutes, Δt:  214.5197, advective CFL: 8.10e-01, diffusive CFL: 2.15e+00
Iter:   7000, sim time: 15.542 days , wall time: 1.525 minutes, Δt:  202.8295, advective CFL: 8.08e-01, diffusive CFL: 2.03e+00
Iter:   7100, sim time: 15.750 days , wall time: 1.541 minutes, Δt:  207.1715, advective CFL: 8.03e-01, diffusive CFL: 2.07e+00
Iter:   7200, sim time: 15.958 days , wall time: 1.557 minutes, Δt:  189.3628, advective CFL: 8.08e-01, diffusive CFL: 1.89e+00
Iter:   7300, sim time: 16.167 days , wall time: 1.572 minutes, Δt:  192.6889, advective CFL: 8.03e-01, diffusive CFL: 1.93e+00
Iter:   7400, sim time: 16.375 days , wall time: 1.587 minutes, Δt:  194.3820, advective CFL: 8.09e-01, diffusive CFL: 1.94e+00
Iter:   7500, sim time: 16.583 days , wall time: 1.603 minutes, Δt:  195.0724, advective CFL: 8.18e-01, diffusive CFL: 1.95e+00
Iter:   7600, sim time: 16.792 days , wall time: 1.618 minutes, Δt:  206.6638, advective CFL: 8.00e-01, diffusive CFL: 2.07e+00
Iter:   7700, sim time: 17 days , wall time: 1.634 minutes, Δt:  191.4489, advective CFL: 7.87e-01, diffusive CFL: 1.91e+00
Iter:   7800, sim time: 17.208 days , wall time: 1.650 minutes, Δt:  187.4174, advective CFL: 7.87e-01, diffusive CFL: 1.87e+00
Iter:   7900, sim time: 17.417 days , wall time: 1.666 minutes, Δt:  203.3464, advective CFL: 7.90e-01, diffusive CFL: 2.03e+00
Iter:   8000, sim time: 17.625 days , wall time: 1.681 minutes, Δt:  203.8255, advective CFL: 8.37e-01, diffusive CFL: 2.04e+00
Iter:   8100, sim time: 17.833 days , wall time: 1.697 minutes, Δt:  196.4377, advective CFL: 8.06e-01, diffusive CFL: 1.96e+00
Iter:   8200, sim time: 18.042 days , wall time: 1.712 minutes, Δt:  197.8062, advective CFL: 8.07e-01, diffusive CFL: 1.98e+00
Iter:   8300, sim time: 18.250 days , wall time: 1.727 minutes, Δt:  194.6952, advective CFL: 8.02e-01, diffusive CFL: 1.95e+00
Iter:   8400, sim time: 18.458 days , wall time: 1.743 minutes, Δt:  203.0856, advective CFL: 7.77e-01, diffusive CFL: 2.03e+00
Iter:   8500, sim time: 18.667 days , wall time: 1.758 minutes, Δt:  183.2052, advective CFL: 7.83e-01, diffusive CFL: 1.83e+00
Iter:   8600, sim time: 18.875 days , wall time: 1.774 minutes, Δt:  198.3811, advective CFL: 7.86e-01, diffusive CFL: 1.98e+00
Iter:   8700, sim time: 19.083 days , wall time: 1.790 minutes, Δt:  187.5528, advective CFL: 8.18e-01, diffusive CFL: 1.88e+00
Iter:   8800, sim time: 19.292 days , wall time: 1.805 minutes, Δt:  192.1693, advective CFL: 8.10e-01, diffusive CFL: 1.92e+00
Iter:   8900, sim time: 19.500 days , wall time: 1.822 minutes, Δt:  191.7646, advective CFL: 7.98e-01, diffusive CFL: 1.92e+00
Iter:   9000, sim time: 19.708 days , wall time: 1.836 minutes, Δt:  190.3080, advective CFL: 8.05e-01, diffusive CFL: 1.90e+00
Iter:   9100, sim time: 19.917 days , wall time: 1.851 minutes, Δt:  209.4098, advective CFL: 8.35e-01, diffusive CFL: 2.09e+00
[ Info: Simulation is stopping after running for 1.857 minutes.
[ Info: Simulation time 20 days equals or exceeds stop time 20 days.
