[ Info: Oceananigans will use 64 threads
number of threads is 64
mainnm = 5, runnm = 8, lat = 30.0
running AMZexpt05.08
stop_time: 1.728e6; lat: 30.0; select mode: [1]
["N2w", "zfw", "lonsel", "latsel"]
Δx = 4.0 km
Δz = 37.38317757009346 m on average
EIG_AMZexpt05.08_LAT_30.0.jld2 Ueig data saved ........ 
Mode 1 wavelength is 385691.5 km
fraction gauss_width/L1 is 0.000
[ Info: Initializing simulation...
Iter:      0, sim time: 0 seconds , wall time:  0 seconds, Δt:  60.0000, advective CFL: 0.00e+00, diffusive CFL: 6.00e-01
[ Info:     ... simulation initialization complete (14.540 seconds)
[ Info: Executing initial time step...
[ Info:     ... initial time step complete (9.971 seconds).
Iter:    100, sim time: 2.750 hours , wall time: 26.679 seconds, Δt:  155.6245, advective CFL: 3.60e-03, diffusive CFL: 1.56e+00
Iter:    200, sim time: 9.362 hours , wall time: 27.793 seconds, Δt:  403.6500, advective CFL: 3.10e-02, diffusive CFL: 4.04e+00
Iter:    300, sim time: 21.417 hours , wall time: 29.361 seconds, Δt:  600.0000, advective CFL: 1.27e-01, diffusive CFL: 6.00e+00
Iter:    400, sim time: 1.413 days , wall time: 30.877 seconds, Δt:  600.0000, advective CFL: 1.84e-01, diffusive CFL: 6.00e+00
Iter:    500, sim time: 1.934 days , wall time: 32.363 seconds, Δt:  600.0000, advective CFL: 2.15e-01, diffusive CFL: 6.00e+00
Iter:    600, sim time: 2.455 days , wall time: 33.770 seconds, Δt:  600.0000, advective CFL: 2.31e-01, diffusive CFL: 6.00e+00
Iter:    700, sim time: 2.976 days , wall time: 35.134 seconds, Δt:  600.0000, advective CFL: 2.50e-01, diffusive CFL: 6.00e+00
Iter:    800, sim time: 3.497 days , wall time: 36.491 seconds, Δt:  600.0000, advective CFL: 2.49e-01, diffusive CFL: 6.00e+00
Iter:    900, sim time: 4.017 days , wall time: 37.819 seconds, Δt:  600.0000, advective CFL: 2.58e-01, diffusive CFL: 6.00e+00
Iter:   1000, sim time: 4.538 days , wall time: 39.157 seconds, Δt:  600.0000, advective CFL: 2.40e-01, diffusive CFL: 6.00e+00
Iter:   1100, sim time: 5.059 days , wall time: 40.557 seconds, Δt:  600.0000, advective CFL: 2.42e-01, diffusive CFL: 6.00e+00
Iter:   1200, sim time: 5.580 days , wall time: 41.776 seconds, Δt:  600.0000, advective CFL: 2.09e-01, diffusive CFL: 6.00e+00
Iter:   1300, sim time: 6.101 days , wall time: 43.037 seconds, Δt:  600.0000, advective CFL: 2.12e-01, diffusive CFL: 6.00e+00
