[ Info: Oceananigans will use 64 threads
number of threads is 64
mainnm = 3, runnm = 3, lat = 0.0
running AMZexpt03.03
stop_time: 1.728e6; lat: 0.0; select mode: [1]
["N2w", "zfw", "lonsel", "latsel"]
Δx = 4.0 km
Δz = 37.38317757009346 m on average
EIG_AMZexpt03.03_LAT_00.0.jld2 Ueig data saved ........ 
Mode 1 wavelength is 106.2 km
fraction gauss_width/L1 is 0.151
┌ Warning: Overwriting existing /home/mbui/ModelOutput/IW/AMZexpt03.03.nc.
└ @ OceananigansNCDatasetsExt ~/.julia/packages/Oceananigans/br1rI/ext/OceananigansNCDatasetsExt/netcdf_writer.jl:191
[ Info: Initializing simulation...
Iter:      0, sim time: 0 seconds , wall time:  0 seconds, Δt:  60.0000, advective CFL: 0.00e+00, diffusive CFL: 6.00e-01
[ Info:     ... simulation initialization complete (14.080 seconds)
[ Info: Executing initial time step...
[ Info:     ... initial time step complete (9.582 seconds).
Iter:    100, sim time: 2.750 hours , wall time: 24.964 seconds, Δt:  155.6245, advective CFL: 1.02e-02, diffusive CFL: 1.56e+00
Iter:    200, sim time: 9.362 hours , wall time: 26.082 seconds, Δt:  403.6500, advective CFL: 1.02e-01, diffusive CFL: 4.04e+00
Iter:    300, sim time: 21.417 hours , wall time: 27.513 seconds, Δt:  600.0000, advective CFL: 4.26e-01, diffusive CFL: 6.00e+00
Iter:    400, sim time: 1.413 days , wall time: 29.014 seconds, Δt:  554.1412, advective CFL: 7.72e-01, diffusive CFL: 5.54e+00
Iter:    500, sim time: 1.832 days , wall time: 30.267 seconds, Δt:  387.8831, advective CFL: 8.50e-01, diffusive CFL: 3.88e+00
Iter:    600, sim time: 2.141 days , wall time: 31.340 seconds, Δt:  251.8465, advective CFL: 7.83e-01, diffusive CFL: 2.52e+00
Iter:    700, sim time: 2.385 days , wall time: 32.327 seconds, Δt:  230.3976, advective CFL: 8.96e-01, diffusive CFL: 2.30e+00
Iter:    800, sim time: 2.598 days , wall time: 33.276 seconds, Δt:  199.0424, advective CFL: 7.58e-01, diffusive CFL: 1.99e+00
Iter:    900, sim time: 2.812 days , wall time: 34.218 seconds, Δt:  206.9014, advective CFL: 8.03e-01, diffusive CFL: 2.07e+00
Iter:   1000, sim time: 3.019 days , wall time: 35.129 seconds, Δt:  191.7221, advective CFL: 8.08e-01, diffusive CFL: 1.92e+00
Iter:   1100, sim time: 3.231 days , wall time: 36.258 seconds, Δt:  189.7621, advective CFL: 7.78e-01, diffusive CFL: 1.90e+00
Iter:   1200, sim time: 3.442 days , wall time: 37.128 seconds, Δt:  189.7961, advective CFL: 8.07e-01, diffusive CFL: 1.90e+00
Iter:   1300, sim time: 3.650 days , wall time: 37.970 seconds, Δt:  194.4633, advective CFL: 8.20e-01, diffusive CFL: 1.94e+00
Iter:   1400, sim time: 3.859 days , wall time: 38.852 seconds, Δt:  206.7936, advective CFL: 8.28e-01, diffusive CFL: 2.07e+00
Iter:   1500, sim time: 4.067 days , wall time: 39.736 seconds, Δt:  211.9023, advective CFL: 8.14e-01, diffusive CFL: 2.12e+00
Iter:   1600, sim time: 4.276 days , wall time: 40.624 seconds, Δt:  207.8412, advective CFL: 8.14e-01, diffusive CFL: 2.08e+00
Iter:   1700, sim time: 4.484 days , wall time: 41.509 seconds, Δt:  197.5781, advective CFL: 7.68e-01, diffusive CFL: 1.98e+00
Iter:   1800, sim time: 4.692 days , wall time: 42.372 seconds, Δt:  196.8981, advective CFL: 7.66e-01, diffusive CFL: 1.97e+00
Iter:   1900, sim time: 4.900 days , wall time: 43.258 seconds, Δt:  192.7791, advective CFL: 8.08e-01, diffusive CFL: 1.93e+00
Iter:   2000, sim time: 5.109 days , wall time: 44.144 seconds, Δt:  195.9521, advective CFL: 8.11e-01, diffusive CFL: 1.96e+00
Iter:   2100, sim time: 5.317 days , wall time: 45.032 seconds, Δt:  194.7568, advective CFL: 8.17e-01, diffusive CFL: 1.95e+00
Iter:   2200, sim time: 5.526 days , wall time: 45.899 seconds, Δt:  209.9881, advective CFL: 8.09e-01, diffusive CFL: 2.10e+00
Iter:   2300, sim time: 5.734 days , wall time: 46.788 seconds, Δt:  208.1328, advective CFL: 8.19e-01, diffusive CFL: 2.08e+00
Iter:   2400, sim time: 5.942 days , wall time: 47.675 seconds, Δt:  215.0116, advective CFL: 8.18e-01, diffusive CFL: 2.15e+00
Iter:   2500, sim time: 6.151 days , wall time: 48.536 seconds, Δt:  201.6286, advective CFL: 7.58e-01, diffusive CFL: 2.02e+00
Iter:   2600, sim time: 6.359 days , wall time: 49.422 seconds, Δt:  190.4870, advective CFL: 7.65e-01, diffusive CFL: 1.90e+00
Iter:   2700, sim time: 6.567 days , wall time: 50.306 seconds, Δt:  188.1653, advective CFL: 8.00e-01, diffusive CFL: 1.88e+00
Iter:   2800, sim time: 6.775 days , wall time: 51.169 seconds, Δt:  191.6749, advective CFL: 8.14e-01, diffusive CFL: 1.92e+00
Iter:   2900, sim time: 6.984 days , wall time: 52.072 seconds, Δt:  200.8453, advective CFL: 8.29e-01, diffusive CFL: 2.01e+00
Iter:   3000, sim time: 7.192 days , wall time: 52.940 seconds, Δt:  210.4067, advective CFL: 8.02e-01, diffusive CFL: 2.10e+00
Iter:   3100, sim time: 7.401 days , wall time: 53.847 seconds, Δt:  210.8937, advective CFL: 8.20e-01, diffusive CFL: 2.11e+00
Iter:   3200, sim time: 7.609 days , wall time: 54.714 seconds, Δt:  203.4094, advective CFL: 8.08e-01, diffusive CFL: 2.03e+00
Iter:   3300, sim time: 7.817 days , wall time: 55.600 seconds, Δt:  200.3791, advective CFL: 7.58e-01, diffusive CFL: 2.00e+00
Iter:   3400, sim time: 8.025 days , wall time: 56.485 seconds, Δt:  188.7989, advective CFL: 7.98e-01, diffusive CFL: 1.89e+00
Iter:   3500, sim time: 8.234 days , wall time: 57.358 seconds, Δt:  193.1629, advective CFL: 8.03e-01, diffusive CFL: 1.93e+00
Iter:   3600, sim time: 8.442 days , wall time: 58.246 seconds, Δt:  192.0424, advective CFL: 8.08e-01, diffusive CFL: 1.92e+00
Iter:   3700, sim time: 8.650 days , wall time: 59.114 seconds, Δt:  200.8630, advective CFL: 8.38e-01, diffusive CFL: 2.01e+00
Iter:   3800, sim time: 8.859 days , wall time: 1.000 minutes, Δt:  193.4986, advective CFL: 8.35e-01, diffusive CFL: 1.93e+00
Iter:   3900, sim time: 9.050 days , wall time: 1.014 minutes, Δt:  176.5638, advective CFL: 7.96e-01, diffusive CFL: 1.77e+00
Iter:   4000, sim time: 9.252 days , wall time: 1.029 minutes, Δt:  186.5820, advective CFL: 7.93e-01, diffusive CFL: 1.87e+00
Iter:   4100, sim time: 9.454 days , wall time: 1.044 minutes, Δt:  176.1078, advective CFL: 7.68e-01, diffusive CFL: 1.76e+00
Iter:   4200, sim time: 9.648 days , wall time: 1.058 minutes, Δt:  181.0933, advective CFL: 7.98e-01, diffusive CFL: 1.81e+00
Iter:   4300, sim time: 9.857 days , wall time: 1.073 minutes, Δt:  205.3399, advective CFL: 8.47e-01, diffusive CFL: 2.05e+00
Iter:   4400, sim time: 10.050 days , wall time: 1.087 minutes, Δt:  176.8423, advective CFL: 7.92e-01, diffusive CFL: 1.77e+00
Iter:   4500, sim time: 10.248 days , wall time: 1.102 minutes, Δt:  189.2246, advective CFL: 8.07e-01, diffusive CFL: 1.89e+00
Iter:   4600, sim time: 10.450 days , wall time: 1.116 minutes, Δt:  179.7017, advective CFL: 7.51e-01, diffusive CFL: 1.80e+00
Iter:   4700, sim time: 10.646 days , wall time: 1.133 minutes, Δt:  180.0832, advective CFL: 8.02e-01, diffusive CFL: 1.80e+00
Iter:   4800, sim time: 10.851 days , wall time: 1.147 minutes, Δt:  207.8659, advective CFL: 7.98e-01, diffusive CFL: 2.08e+00
Iter:   4900, sim time: 11.046 days , wall time: 1.161 minutes, Δt:  188.9364, advective CFL: 8.41e-01, diffusive CFL: 1.89e+00
Iter:   5000, sim time: 11.244 days , wall time: 1.175 minutes, Δt:  184.9154, advective CFL: 7.85e-01, diffusive CFL: 1.85e+00
Iter:   5100, sim time: 11.448 days , wall time: 1.189 minutes, Δt:  175.8839, advective CFL: 7.63e-01, diffusive CFL: 1.76e+00
Iter:   5200, sim time: 11.640 days , wall time: 1.204 minutes, Δt:  179.3192, advective CFL: 7.86e-01, diffusive CFL: 1.79e+00
Iter:   5300, sim time: 11.846 days , wall time: 1.219 minutes, Δt:  206.1677, advective CFL: 7.95e-01, diffusive CFL: 2.06e+00
Iter:   5400, sim time: 12.044 days , wall time: 1.233 minutes, Δt:  183.9224, advective CFL: 8.36e-01, diffusive CFL: 1.84e+00
Iter:   5500, sim time: 12.236 days , wall time: 1.247 minutes, Δt:  184.1055, advective CFL: 8.11e-01, diffusive CFL: 1.84e+00
Iter:   5600, sim time: 12.445 days , wall time: 1.262 minutes, Δt:  203.7478, advective CFL: 8.51e-01, diffusive CFL: 2.04e+00
Iter:   5700, sim time: 12.635 days , wall time: 1.276 minutes, Δt:  177.1044, advective CFL: 7.67e-01, diffusive CFL: 1.77e+00
Iter:   5800, sim time: 12.838 days , wall time: 1.291 minutes, Δt:  187.1305, advective CFL: 7.96e-01, diffusive CFL: 1.87e+00
Iter:   5900, sim time: 13.042 days , wall time: 1.306 minutes, Δt:  180.5404, advective CFL: 8.32e-01, diffusive CFL: 1.81e+00
Iter:   6000, sim time: 13.229 days , wall time: 1.321 minutes, Δt:  178.1628, advective CFL: 7.52e-01, diffusive CFL: 1.78e+00
Iter:   6100, sim time: 13.438 days , wall time: 1.335 minutes, Δt:  207.3187, advective CFL: 7.93e-01, diffusive CFL: 2.07e+00
Iter:   6200, sim time: 13.633 days , wall time: 1.351 minutes, Δt:  179.0809, advective CFL: 7.90e-01, diffusive CFL: 1.79e+00
Iter:   6300, sim time: 13.829 days , wall time: 1.365 minutes, Δt:  182.4733, advective CFL: 7.87e-01, diffusive CFL: 1.82e+00
Iter:   6400, sim time: 14.038 days , wall time: 1.380 minutes, Δt:  187.3042, advective CFL: 8.36e-01, diffusive CFL: 1.87e+00
Iter:   6500, sim time: 14.229 days , wall time: 1.394 minutes, Δt:  180.9604, advective CFL: 8.17e-01, diffusive CFL: 1.81e+00
Iter:   6600, sim time: 14.431 days , wall time: 1.409 minutes, Δt:  189.1452, advective CFL: 7.65e-01, diffusive CFL: 1.89e+00
Iter:   6700, sim time: 14.629 days , wall time: 1.424 minutes, Δt:  175.2642, advective CFL: 7.52e-01, diffusive CFL: 1.75e+00
Iter:   6800, sim time: 14.825 days , wall time: 1.438 minutes, Δt:  180.7794, advective CFL: 8.00e-01, diffusive CFL: 1.81e+00
Iter:   6900, sim time: 15.034 days , wall time: 1.453 minutes, Δt:  199.2604, advective CFL: 8.48e-01, diffusive CFL: 1.99e+00
Iter:   7000, sim time: 15.225 days , wall time: 1.467 minutes, Δt:  176.5497, advective CFL: 7.92e-01, diffusive CFL: 1.77e+00
Iter:   7100, sim time: 15.425 days , wall time: 1.482 minutes, Δt:  186.9775, advective CFL: 7.98e-01, diffusive CFL: 1.87e+00
Iter:   7200, sim time: 15.627 days , wall time: 1.497 minutes, Δt:  174.9315, advective CFL: 7.72e-01, diffusive CFL: 1.75e+00
Iter:   7300, sim time: 15.819 days , wall time: 1.511 minutes, Δt:  180.8247, advective CFL: 7.91e-01, diffusive CFL: 1.81e+00
Iter:   7400, sim time: 16.028 days , wall time: 1.526 minutes, Δt:  209.5289, advective CFL: 8.26e-01, diffusive CFL: 2.10e+00
Iter:   7500, sim time: 16.221 days , wall time: 1.540 minutes, Δt:  179.0359, advective CFL: 7.90e-01, diffusive CFL: 1.79e+00
Iter:   7600, sim time: 16.419 days , wall time: 1.555 minutes, Δt:  182.9952, advective CFL: 7.82e-01, diffusive CFL: 1.83e+00
Iter:   7700, sim time: 16.627 days , wall time: 1.570 minutes, Δt:  181.8734, advective CFL: 8.29e-01, diffusive CFL: 1.82e+00
Iter:   7800, sim time: 16.817 days , wall time: 1.584 minutes, Δt:  180.5508, advective CFL: 8.14e-01, diffusive CFL: 1.81e+00
Iter:   7900, sim time: 17.019 days , wall time: 1.598 minutes, Δt:  190.1865, advective CFL: 7.63e-01, diffusive CFL: 1.90e+00
Iter:   8000, sim time: 17.218 days , wall time: 1.613 minutes, Δt:  173.8836, advective CFL: 7.88e-01, diffusive CFL: 1.74e+00
Iter:   8100, sim time: 17.410 days , wall time: 1.627 minutes, Δt:  180.5250, advective CFL: 7.93e-01, diffusive CFL: 1.81e+00
Iter:   8200, sim time: 17.619 days , wall time: 1.643 minutes, Δt:  205.1101, advective CFL: 8.25e-01, diffusive CFL: 2.05e+00
Iter:   8300, sim time: 17.812 days , wall time: 1.658 minutes, Δt:  183.7287, advective CFL: 8.29e-01, diffusive CFL: 1.84e+00
Iter:   8400, sim time: 18.013 days , wall time: 1.671 minutes, Δt:  186.9638, advective CFL: 8.02e-01, diffusive CFL: 1.87e+00
Iter:   8500, sim time: 18.214 days , wall time: 1.685 minutes, Δt:  175.0637, advective CFL: 7.70e-01, diffusive CFL: 1.75e+00
