[ Info: Oceananigans will use 64 threads
number of threads is 64
mainnm = 5, runnm = 5, lat = 15.0
running AMZexpt05.05
stop_time: 1.728e6; lat: 15.0; select mode: [1]
["N2w", "zfw", "lonsel", "latsel"]
Δx = 4.0 km
Δz = 37.38317757009346 m on average
EIG_AMZexpt05.05_LAT_15.0.jld2 Ueig data saved ........ 
Mode 1 wavelength is 239.6 km
fraction gauss_width/L1 is 0.067
[ Info: Initializing simulation...
Iter:      0, sim time: 0 seconds , wall time:  0 seconds, Δt:  60.0000, advective CFL: 0.00e+00, diffusive CFL: 6.00e-01
[ Info:     ... simulation initialization complete (14.407 seconds)
[ Info: Executing initial time step...
[ Info:     ... initial time step complete (9.898 seconds).
Iter:    100, sim time: 2.750 hours , wall time: 26.439 seconds, Δt:  155.6245, advective CFL: 3.72e-03, diffusive CFL: 1.56e+00
Iter:    200, sim time: 9.362 hours , wall time: 27.625 seconds, Δt:  403.6500, advective CFL: 2.06e-02, diffusive CFL: 4.04e+00
Iter:    300, sim time: 21.417 hours , wall time: 29.165 seconds, Δt:  600.0000, advective CFL: 6.53e-02, diffusive CFL: 6.00e+00
Iter:    400, sim time: 1.413 days , wall time: 30.710 seconds, Δt:  600.0000, advective CFL: 7.54e-02, diffusive CFL: 6.00e+00
Iter:    500, sim time: 1.934 days , wall time: 32.152 seconds, Δt:  600.0000, advective CFL: 9.09e-02, diffusive CFL: 6.00e+00
Iter:    600, sim time: 2.455 days , wall time: 33.502 seconds, Δt:  600.0000, advective CFL: 1.14e-01, diffusive CFL: 6.00e+00
Iter:    700, sim time: 2.976 days , wall time: 34.812 seconds, Δt:  600.0000, advective CFL: 1.27e-01, diffusive CFL: 6.00e+00
Iter:    800, sim time: 3.497 days , wall time: 36.298 seconds, Δt:  600.0000, advective CFL: 1.32e-01, diffusive CFL: 6.00e+00
Iter:    900, sim time: 4.017 days , wall time: 37.509 seconds, Δt:  600.0000, advective CFL: 1.42e-01, diffusive CFL: 6.00e+00
Iter:   1000, sim time: 4.538 days , wall time: 38.767 seconds, Δt:  600.0000, advective CFL: 1.44e-01, diffusive CFL: 6.00e+00
