[ Info: Oceananigans will use 64 threads
number of threads is 64
mainnm = 3, runnm = 7, lat = 15.0
running AMZexpt03.07
stop_time: 1.728e6; lat: 15.0; select mode: [1]
["N2w", "zfw", "lonsel", "latsel"]
Δx = 4.0 km
Δz = 37.38317757009346 m on average
EIG_AMZexpt03.07_LAT_15.0.jld2 Ueig data saved ........ 
Mode 1 wavelength is 110.2 km
fraction gauss_width/L1 is 0.145
┌ Warning: Overwriting existing /home/mbui/ModelOutput/IW/AMZexpt03.07.nc.
└ @ OceananigansNCDatasetsExt ~/.julia/packages/Oceananigans/br1rI/ext/OceananigansNCDatasetsExt/netcdf_writer.jl:191
[ Info: Initializing simulation...
Iter:      0, sim time: 0 seconds , wall time:  0 seconds, Δt:  60.0000, advective CFL: 0.00e+00, diffusive CFL: 6.00e-01
[ Info:     ... simulation initialization complete (13.970 seconds)
[ Info: Executing initial time step...
[ Info:     ... initial time step complete (9.603 seconds).
Iter:    100, sim time: 2.750 hours , wall time: 24.876 seconds, Δt:  155.6245, advective CFL: 9.90e-03, diffusive CFL: 1.56e+00
Iter:    200, sim time: 9.362 hours , wall time: 26.004 seconds, Δt:  403.6500, advective CFL: 9.83e-02, diffusive CFL: 4.04e+00
Iter:    300, sim time: 21.417 hours , wall time: 27.476 seconds, Δt:  600.0000, advective CFL: 4.19e-01, diffusive CFL: 6.00e+00
Iter:    400, sim time: 1.413 days , wall time: 28.939 seconds, Δt:  600.0000, advective CFL: 7.69e-01, diffusive CFL: 6.00e+00
Iter:    500, sim time: 1.865 days , wall time: 30.359 seconds, Δt:  414.7829, advective CFL: 9.46e-01, diffusive CFL: 4.15e+00
Iter:    600, sim time: 2.188 days , wall time: 31.368 seconds, Δt:  286.9365, advective CFL: 8.73e-01, diffusive CFL: 2.87e+00
Iter:    700, sim time: 2.448 days , wall time: 32.332 seconds, Δt:  259.6538, advective CFL: 8.92e-01, diffusive CFL: 2.60e+00
Iter:    800, sim time: 2.695 days , wall time: 33.318 seconds, Δt:  219.7728, advective CFL: 8.31e-01, diffusive CFL: 2.20e+00
Iter:    900, sim time: 2.906 days , wall time: 34.237 seconds, Δt:  203.2480, advective CFL: 7.35e-01, diffusive CFL: 2.03e+00
Iter:   1000, sim time: 3.115 days , wall time: 35.208 seconds, Δt:  209.5732, advective CFL: 8.66e-01, diffusive CFL: 2.10e+00
Iter:   1100, sim time: 3.321 days , wall time: 36.185 seconds, Δt:  177.4244, advective CFL: 8.01e-01, diffusive CFL: 1.77e+00
Iter:   1200, sim time: 3.506 days , wall time: 37.102 seconds, Δt:  181.1883, advective CFL: 7.77e-01, diffusive CFL: 1.81e+00
Iter:   1300, sim time: 3.715 days , wall time: 38.040 seconds, Δt:  198.7072, advective CFL: 7.16e-01, diffusive CFL: 1.99e+00
Iter:   1400, sim time: 3.924 days , wall time: 38.968 seconds, Δt:  197.7824, advective CFL: 8.49e-01, diffusive CFL: 1.98e+00
Iter:   1500, sim time: 4.132 days , wall time: 39.944 seconds, Δt:  191.8614, advective CFL: 7.24e-01, diffusive CFL: 1.92e+00
Iter:   1600, sim time: 4.340 days , wall time: 40.882 seconds, Δt:  190.2536, advective CFL: 8.12e-01, diffusive CFL: 1.90e+00
Iter:   1700, sim time: 4.548 days , wall time: 41.837 seconds, Δt:  195.0763, advective CFL: 7.67e-01, diffusive CFL: 1.95e+00
Iter:   1800, sim time: 4.757 days , wall time: 42.750 seconds, Δt:  204.8266, advective CFL: 8.31e-01, diffusive CFL: 2.05e+00
Iter:   1900, sim time: 4.960 days , wall time: 43.699 seconds, Δt:  176.1693, advective CFL: 7.79e-01, diffusive CFL: 1.76e+00
Iter:   2000, sim time: 5.148 days , wall time: 44.632 seconds, Δt:  180.7851, advective CFL: 7.81e-01, diffusive CFL: 1.81e+00
Iter:   2100, sim time: 5.356 days , wall time: 45.592 seconds, Δt:  188.6053, advective CFL: 7.84e-01, diffusive CFL: 1.89e+00
Iter:   2200, sim time: 5.565 days , wall time: 46.538 seconds, Δt:  203.3153, advective CFL: 8.16e-01, diffusive CFL: 2.03e+00
Iter:   2300, sim time: 5.773 days , wall time: 47.475 seconds, Δt:  200.5419, advective CFL: 8.00e-01, diffusive CFL: 2.01e+00
Iter:   2400, sim time: 5.981 days , wall time: 48.407 seconds, Δt:  187.3258, advective CFL: 8.26e-01, diffusive CFL: 1.87e+00
Iter:   2500, sim time: 6.190 days , wall time: 49.353 seconds, Δt:  186.7573, advective CFL: 8.16e-01, diffusive CFL: 1.87e+00
Iter:   2600, sim time: 6.398 days , wall time: 50.326 seconds, Δt:  202.1493, advective CFL: 7.88e-01, diffusive CFL: 2.02e+00
Iter:   2700, sim time: 6.588 days , wall time: 51.234 seconds, Δt:  182.0588, advective CFL: 8.06e-01, diffusive CFL: 1.82e+00
Iter:   2800, sim time: 6.786 days , wall time: 52.170 seconds, Δt:  191.2393, advective CFL: 7.78e-01, diffusive CFL: 1.91e+00
Iter:   2900, sim time: 6.994 days , wall time: 53.109 seconds, Δt:  194.0157, advective CFL: 8.45e-01, diffusive CFL: 1.94e+00
Iter:   3000, sim time: 7.192 days , wall time: 54.040 seconds, Δt:  197.4937, advective CFL: 7.70e-01, diffusive CFL: 1.97e+00
Iter:   3100, sim time: 7.401 days , wall time: 55.010 seconds, Δt:  201.7605, advective CFL: 7.73e-01, diffusive CFL: 2.02e+00
Iter:   3200, sim time: 7.608 days , wall time: 55.978 seconds, Δt:  183.9957, advective CFL: 8.11e-01, diffusive CFL: 1.84e+00
Iter:   3300, sim time: 7.817 days , wall time: 56.926 seconds, Δt:  184.7649, advective CFL: 7.98e-01, diffusive CFL: 1.85e+00
Iter:   3400, sim time: 8 days , wall time: 57.835 seconds, Δt:  173.8226, advective CFL: 7.71e-01, diffusive CFL: 1.74e+00
Iter:   3500, sim time: 8.177 days , wall time: 58.735 seconds, Δt:  179.0728, advective CFL: 7.91e-01, diffusive CFL: 1.79e+00
Iter:   3600, sim time: 8.360 days , wall time: 59.682 seconds, Δt:  172.0255, advective CFL: 7.41e-01, diffusive CFL: 1.72e+00
Iter:   3700, sim time: 8.542 days , wall time: 1.010 minutes, Δt:  174.0632, advective CFL: 7.56e-01, diffusive CFL: 1.74e+00
Iter:   3800, sim time: 8.727 days , wall time: 1.026 minutes, Δt:  172.6219, advective CFL: 7.98e-01, diffusive CFL: 1.73e+00
Iter:   3900, sim time: 8.917 days , wall time: 1.041 minutes, Δt:  182.5718, advective CFL: 7.59e-01, diffusive CFL: 1.83e+00
Iter:   4000, sim time: 9.125 days , wall time: 1.060 minutes, Δt:  181.9440, advective CFL: 8.03e-01, diffusive CFL: 1.82e+00
Iter:   4100, sim time: 9.333 days , wall time: 1.075 minutes, Δt:  186.2699, advective CFL: 8.02e-01, diffusive CFL: 1.86e+00
Iter:   4200, sim time: 9.542 days , wall time: 1.089 minutes, Δt:  201.4158, advective CFL: 8.10e-01, diffusive CFL: 2.01e+00
Iter:   4300, sim time: 9.738 days , wall time: 1.104 minutes, Δt:  182.2358, advective CFL: 7.99e-01, diffusive CFL: 1.82e+00
Iter:   4400, sim time: 9.917 days , wall time: 1.119 minutes, Δt:  175.7099, advective CFL: 8.05e-01, diffusive CFL: 1.76e+00
Iter:   4500, sim time: 10.091 days , wall time: 1.133 minutes, Δt:  164.1443, advective CFL: 8.03e-01, diffusive CFL: 1.64e+00
Iter:   4600, sim time: 10.264 days , wall time: 1.148 minutes, Δt:  167.7906, advective CFL: 7.77e-01, diffusive CFL: 1.68e+00
Iter:   4700, sim time: 10.446 days , wall time: 1.162 minutes, Δt:  176.5358, advective CFL: 7.97e-01, diffusive CFL: 1.77e+00
Iter:   4800, sim time: 10.637 days , wall time: 1.177 minutes, Δt:  177.9328, advective CFL: 7.87e-01, diffusive CFL: 1.78e+00
Iter:   4900, sim time: 10.836 days , wall time: 1.192 minutes, Δt:  202.0643, advective CFL: 8.15e-01, diffusive CFL: 2.02e+00
Iter:   5000, sim time: 11.044 days , wall time: 1.206 minutes, Δt:  206.6655, advective CFL: 8.37e-01, diffusive CFL: 2.07e+00
Iter:   5100, sim time: 11.231 days , wall time: 1.221 minutes, Δt:  182.9688, advective CFL: 8.41e-01, diffusive CFL: 1.83e+00
Iter:   5200, sim time: 11.410 days , wall time: 1.235 minutes, Δt:  172.7821, advective CFL: 7.87e-01, diffusive CFL: 1.73e+00
Iter:   5300, sim time: 11.589 days , wall time: 1.250 minutes, Δt:  168.2619, advective CFL: 7.86e-01, diffusive CFL: 1.68e+00
Iter:   5400, sim time: 11.762 days , wall time: 1.264 minutes, Δt:  178.6284, advective CFL: 7.84e-01, diffusive CFL: 1.79e+00
Iter:   5500, sim time: 11.952 days , wall time: 1.279 minutes, Δt:  181.1949, advective CFL: 7.93e-01, diffusive CFL: 1.81e+00
Iter:   5600, sim time: 12.156 days , wall time: 1.294 minutes, Δt:  177.2554, advective CFL: 8.04e-01, diffusive CFL: 1.77e+00
Iter:   5700, sim time: 12.340 days , wall time: 1.309 minutes, Δt:  180.3857, advective CFL: 7.93e-01, diffusive CFL: 1.80e+00
Iter:   5800, sim time: 12.548 days , wall time: 1.324 minutes, Δt:  191.3063, advective CFL: 7.88e-01, diffusive CFL: 1.91e+00
Iter:   5900, sim time: 12.748 days , wall time: 1.339 minutes, Δt:  178.2259, advective CFL: 8.05e-01, diffusive CFL: 1.78e+00
Iter:   6000, sim time: 12.931 days , wall time: 1.354 minutes, Δt:  181.8409, advective CFL: 8.10e-01, diffusive CFL: 1.82e+00
Iter:   6100, sim time: 13.125 days , wall time: 1.368 minutes, Δt:  177.2218, advective CFL: 7.88e-01, diffusive CFL: 1.77e+00
Iter:   6200, sim time: 13.306 days , wall time: 1.383 minutes, Δt:  172.3009, advective CFL: 7.84e-01, diffusive CFL: 1.72e+00
Iter:   6300, sim time: 13.494 days , wall time: 1.399 minutes, Δt:  183.4816, advective CFL: 7.72e-01, diffusive CFL: 1.83e+00
Iter:   6400, sim time: 13.702 days , wall time: 1.413 minutes, Δt:  192.7708, advective CFL: 8.34e-01, diffusive CFL: 1.93e+00
Iter:   6500, sim time: 13.890 days , wall time: 1.428 minutes, Δt:  178.5447, advective CFL: 7.94e-01, diffusive CFL: 1.79e+00
Iter:   6600, sim time: 14.094 days , wall time: 1.443 minutes, Δt:  194.8402, advective CFL: 7.77e-01, diffusive CFL: 1.95e+00
Iter:   6700, sim time: 14.300 days , wall time: 1.458 minutes, Δt:  178.7366, advective CFL: 7.98e-01, diffusive CFL: 1.79e+00
Iter:   6800, sim time: 14.504 days , wall time: 1.473 minutes, Δt:  182.8084, advective CFL: 8.06e-01, diffusive CFL: 1.83e+00
Iter:   6900, sim time: 14.713 days , wall time: 1.488 minutes, Δt:  188.6897, advective CFL: 7.67e-01, diffusive CFL: 1.89e+00
Iter:   7000, sim time: 14.921 days , wall time: 1.503 minutes, Δt:  185.7285, advective CFL: 8.04e-01, diffusive CFL: 1.86e+00
Iter:   7100, sim time: 15.129 days , wall time: 1.518 minutes, Δt:  190.4835, advective CFL: 8.14e-01, diffusive CFL: 1.90e+00
Iter:   7200, sim time: 15.333 days , wall time: 1.533 minutes, Δt:  177.2218, advective CFL: 7.95e-01, diffusive CFL: 1.77e+00
Iter:   7300, sim time: 15.525 days , wall time: 1.548 minutes, Δt:  184.9582, advective CFL: 8.02e-01, diffusive CFL: 1.85e+00
Iter:   7400, sim time: 15.734 days , wall time: 1.563 minutes, Δt:  203.2654, advective CFL: 7.84e-01, diffusive CFL: 2.03e+00
Iter:   7500, sim time: 15.925 days , wall time: 1.577 minutes, Δt:  178.9399, advective CFL: 7.98e-01, diffusive CFL: 1.79e+00
Iter:   7600, sim time: 16.129 days , wall time: 1.592 minutes, Δt:  185.3140, advective CFL: 8.19e-01, diffusive CFL: 1.85e+00
Iter:   7700, sim time: 16.338 days , wall time: 1.607 minutes, Δt:  181.0053, advective CFL: 7.86e-01, diffusive CFL: 1.81e+00
Iter:   7800, sim time: 16.546 days , wall time: 1.625 minutes, Δt:  193.6429, advective CFL: 7.76e-01, diffusive CFL: 1.94e+00
Iter:   7900, sim time: 16.755 days , wall time: 1.638 minutes, Δt:  197.0921, advective CFL: 8.25e-01, diffusive CFL: 1.97e+00
Iter:   8000, sim time: 16.963 days , wall time: 1.653 minutes, Δt:  180.0377, advective CFL: 7.96e-01, diffusive CFL: 1.80e+00
Iter:   8100, sim time: 17.171 days , wall time: 1.667 minutes, Δt:  185.5451, advective CFL: 7.71e-01, diffusive CFL: 1.86e+00
Iter:   8200, sim time: 17.367 days , wall time: 1.682 minutes, Δt:  176.1801, advective CFL: 7.95e-01, diffusive CFL: 1.76e+00
Iter:   8300, sim time: 17.552 days , wall time: 1.697 minutes, Δt:  180.2167, advective CFL: 7.85e-01, diffusive CFL: 1.80e+00
Iter:   8400, sim time: 17.754 days , wall time: 1.712 minutes, Δt:  176.7991, advective CFL: 7.86e-01, diffusive CFL: 1.77e+00
Iter:   8500, sim time: 17.958 days , wall time: 1.727 minutes, Δt:  180.2050, advective CFL: 7.96e-01, diffusive CFL: 1.80e+00
Iter:   8600, sim time: 18.167 days , wall time: 1.742 minutes, Δt:  190.2144, advective CFL: 8.03e-01, diffusive CFL: 1.90e+00
Iter:   8700, sim time: 18.375 days , wall time: 1.757 minutes, Δt:  194.1321, advective CFL: 7.68e-01, diffusive CFL: 1.94e+00
Iter:   8800, sim time: 18.583 days , wall time: 1.772 minutes, Δt:  198.5606, advective CFL: 8.27e-01, diffusive CFL: 1.99e+00
Iter:   8900, sim time: 18.792 days , wall time: 1.787 minutes, Δt:  195.0543, advective CFL: 8.25e-01, diffusive CFL: 1.95e+00
Iter:   9000, sim time: 18.994 days , wall time: 1.802 minutes, Δt:  177.5167, advective CFL: 7.98e-01, diffusive CFL: 1.78e+00
Iter:   9100, sim time: 19.190 days , wall time: 1.817 minutes, Δt:  191.3575, advective CFL: 7.78e-01, diffusive CFL: 1.91e+00
Iter:   9200, sim time: 19.379 days , wall time: 1.831 minutes, Δt:  182.3899, advective CFL: 8.06e-01, diffusive CFL: 1.82e+00
Iter:   9300, sim time: 19.562 days , wall time: 1.846 minutes, Δt:  182.3521, advective CFL: 8.30e-01, diffusive CFL: 1.82e+00
Iter:   9400, sim time: 19.750 days , wall time: 1.860 minutes, Δt:  179.3552, advective CFL: 8.04e-01, diffusive CFL: 1.79e+00
Iter:   9500, sim time: 19.948 days , wall time: 1.875 minutes, Δt:  199.6105, advective CFL: 7.78e-01, diffusive CFL: 2.00e+00
[ Info: Simulation is stopping after running for 1.879 minutes.
[ Info: Simulation time 20 days equals or exceeds stop time 20 days.
